comment,date,stars
"I’ve driving Uber for over 8500 trip in the last 3 years, with an overall drive rating of 4.91 and an excellent riders' reviews in my account. All the time we call the customer support team about any problems we have, they just don’t expect them to ever listen to you!! Last week I have a rider vomited and peed inside my vehicle and they refused to send me a cleaning fee. I talked to 5 different people in their driver's support team, but it seems they are ignorant and it seems Uber trained them to always provide the same answer. Even though I was doing Uber full time as a driver but never again. IF YOU GUYS REALLY WANT TO BE A SLAVES THEN YOU CAN WORK FOR THEM.","July 16, 2019",1.0
"First ** time I called you, my drivers says, ""I can't make it. Cancel it. You wont be charged."" I cancelled it, I was charged. ** horse ** Richland, Miss. Jackson, Miss. area... He told me to cancel it. Like why did you take the job if you couldn't do it. Oh so you could make 5 dollars for doing nothing. Piece of **. Nissan Altima.","July 14, 2019",1.0
"Uber does only lip service in term of driver quality in India. A large number of uber cars are dirty, Acs hardly fictional, Drivers trying to defraud and overcharge, UBER customer support in India is dismal. I had a driver overcharge me by 200 rupees and Uber offered to refund 10 rupees. Joke!","July 12, 2019",1.0
"I requested a ride from Fort Worth, South Henderson Street to Irving Texas. The upfront fare they showed is 40.50 for economy ride and they said I have an offer of 25% max of 10$ per ride discount so it will be 30.50, then this driver Aashish in Toyota Corolla ** came and literally said “Oh I was going home"" and I got a ride which is exactly close to my home that’s convenient for him he said and then he took his own favorite route as per his wish and then at the end they charged me 8.96 dollars extra apart from 30.50 saying the toll charges, which means the total fare is 49-50$?? In a non busy period, that is never a fare till now. It’s maximum 35-36 and or 38-39 in a busy time. ","July 11, 2019",1.0
"Earlier, Uber was great. They used to provide prompt customer service and quick redressal of issues. Now, there is no person you can speak to, there is no acknowledgement even if you complain and random multiple charges are being deducted for the same trip. Thank God for Ola, otherwise UBER is such a scam.","July 10, 2019",1.0
"I have been using Uber as a rider from 2016 with a good passenger rating. Never had issues with any driver and my experience was in general good. A month ago Uber disabled my account. I reached customer support and after a few email exchanges, customer support sent me a rude (and offensive) email that I have violated the terms and conditions. I can safely say that this is truth challenged. I have no duplicate accounts, I am quiet as a rider and cooperative and never caused any issues. I asked customer support if there is a mistake and if they can lift the suspension but they ignored my request. This is no way to treat a client. Uber deals with problems because it cannot handle the vast clientele it has currently and makes mistakes, but this is no way to treat someone like this. I believe that TLC should investigate further how Uber is operating in terms of customer support, as well as monitor it much closer.","July 8, 2019",1.0
"Uber Eats cancel order without refund. @UberEats Hi friends. Don't order any food from Uber Eats. He will get your money and do not deliver your food, That is my experience and story. It can be with you and Its customer support will not resolve your problem. The delivery boy did not come at my home.","July 7, 2019",1.0
"My daughter called for an Uber pick up and was told no driver was available. She called a few more times in hopes that a driver would become available. She was charged $510 (5x $102), but no driver ever showed. Uber refuses to refund the $$. They are insisting that the refund must come from my daughter's bank. It is illegal to be charged for rides that never came. Uber repeatedly stated that no driver was available and yet they charged her anyway!!!","March 18, 2019",1.0
"I took Uber from IGT 1 to Sector 25 Noida and it shows rent of 820 approx. on Uber Premier, which looks good but when I reached my location without any stoppage driver asked me to pay 1210 rupees which is totally disappointing for me as prepaid taxi outside airport is even charging 950 rupees. But when I cross checked with my trip charges then I was shocked to see billing of 835 is showing on my app. I asked the driver to talk to Uber and check the same but he refused and asked to pay his charge as per his Uber application and write mail to Uber for the claim. I do took pictures of driver's mobile application screen and there is no transaction or reference number to track. Only amount, date, location is shown in it and same is with my trip detail in my Uber app. When trying to download receipt of this trip it's not opening as Uber Lite is not supporting this function. When trying to download Uber application it's not getting download. ","July 6, 2019",1.0
"So my husband and I thought to let everybody know about our experience in New Orleans with Uber. We will never take Uber again. We went on vacation to New Orleans to take a cruise. We arrived the day before, The suggestion from our travel agent, just to make sure that nothing went wrong. We are new to Uber and our ride from the Comfort Inn Suites at the New Orleans airport to the Port of New Orleans on Feb 7 was the first time using Uber. This was at the suggestion of the Comfort Inn Suite and we were happy with the service that was provided to the Port of New Orleans. Mileage of 14.34 and drive time of 36 minutes as recorded with a value of $21.78. ","July 6, 2019",1.0
I was in Montreal last week as it was raining. Wanted a quick ride to my destination so booked an Uber. The amount displayed was between 27-35 (which included surge). I didn't mind it as I was running late and wanted to get to the destination on time. Unfortunately there was an event taking place at the location and the cops had blocked some of the roads - due to heavy traffic and roads being blocked it took me 50 mins to get to my destination as opposed to 20 mins and to my surprise at the end of the ride the driver told me there is waiting time added to it which I wasn't aware off as Uber doesn't tell you the amount right away. You don't have the visibility as you do in most cabs. You can see the meter and make a quick decision of either taking the ride or stopping it right away.,"July 3, 2019",1.0
"Launched app, was quoted $47 for the 30 mile ride home, what I expected, and what I've paid generally dozens of times. Got picked up and was later billed $133. Triple the quote. Uber says I confirmed the change. I did not, nor would I ever do so. I could have taken a limo for less than that. Dispute denied, just shut up and pay. I fired Uber, and will never use them again.","July 3, 2019",1.0
I placed an order on Uber Eats and the food never showed up but I was charged anyways. I called to tell the customer service reps but they ignored me. The food never showed up and now I can't eat my lunch because I gave my last money to eat today. This is completely unfair that my food never shows up and I still got charged! I want my 13 dollars back!,"July 1, 2019",1.0
"Customer service is absolutely terrible. I have recently been locked out due to some background check. In the middle of a fair mind you. I recently relocated to a different state and have a different driver's license. The old state driver's license was still active in my account but due to it no longer being a valid license, and I supplied the new one, the background check failed and now I have to wait 7-15 days for a resolution.","July 1, 2019",1.0
On Thursday 27/06/19 I lost my wallet with a significant amount of cash and important identity cards and ATMs. Tried to call Uber. There are no customer helplines. Uber allows to connect to drivers but the driver had picked other rides and so that leaves me knowing that the next rider might have taken up the wallet but I can't do anything about it.,"June 29, 2019",1.0
"Drivers take longer routes just to charge you money and they don’t give you, your money back. I had the worse taxi experience with this company, driver turn all the way around and they charged me distance and long and they didn’t want to give me my money back.","June 28, 2019",1.0
"I ordered an Uber around midnight, it said it was going to take 9 minutes so I waited, left the club with 1 min to spare, saw the car pull up, got in, only to be told the taxi wasn't for me - he hadn't even asked my name!. He said he wasn't taking me and to get out and drove away. I looked at my phone and it came up driver has cancelled. My original ride was going to cost £20. I tried to book another Uber and the price had been upped to £40-50!! I had to go home late at night on the tube with a walk at the other end which I didn't feel comfortable with. ","June 28, 2019",1.0
"I tried to do instant pay at Wawa. Called. They said I needed to update my card info. When I did that it refused to let me update because of a security issue. I called. The guy said he couldn't help me. I asked for a manager and he continued to argue with me. I had to keep telling him to put someone else on the phone. I had to hang up and call back. Got someone else. He told me I'd just have to wait 45 minutes. So I waited. Updated the card info. Went to go instant pay... Locked me out of the system again saying security issue. Called back. Got the first guy again. Great I thought. I could hear plenty of people laughing in the background. He put me on hold saying it was to pull up my info, but really it was to wait for them to quiet down. ","March 18, 2019",1.0
"I needed to update my info in the app and it would not let me. I submitted a request to Uber and they refused to update my information saying they wanted my driver's license for proof of identity. They said in an automated email I have multiple accounts and I do not. They claim I'm a driver, which I am not. I have only ever been a rider. Now I have zero access to use the app and they refuse to communicate with me except through auto emails. I called the customer service line and the system tells me I'm not authorized to use the line because I'm not a premium user. This is BS. Horrible company and even worse customer service.","March 18, 2019",1.0
I have found Uber to be much more convenient than taxis and faster. Drivers have always been pleasant and helpful. When I'm travelling around the US and I'm in a new city it's a great way to get around.,"March 18, 2019",5.0
They extort money from people and get away with it. For example I bought an Uber card for 40.00 and it wouldn't work. Their answer was that I owed 20.00 to them when in fact it is impossible to owe Uber anything. So money was taken from us and we could never get it back. I am not the only person that has been stolen from in this way.,"March 18, 2019",1.0
"Living in a new area where public transportation is limited, this service is a life saver. I don't own a car and previously lived in a more urban area where I could walk to most places. I can pull out my phone and usually get an Uber in less than 6 minutes.","March 18, 2019",5.0
"Cheaper and nicer than taken cabs, have met some nice people. A lot of their drivers are very friendly and helpful. The savings alone are worth it because I don’t drink and drive and normal cab fee is $50.","March 18, 2019",5.0
"I ordered an Uber at the airport for me my boyfriend and his parents so 4 people and a couple luggages. The Uber pulled over, opened his truck and suddenly closed it and said We were too many passengers (which we weren’t) and told me to cancel the ride 'cause he wouldn’t take us and just drove off. I was really upset and cancelled as per the driver's instruction and was charged a 5$ cancellation fee. I’ve been talking back and forth with Uber customer service for 4 days now and they refuse to credit me the fee even though they admit I’m right and apologized for the bad experience. Their reasoning is that too many fare adjustments were made on my account (which were warranted 'cause I was indeed overcharged on a few trips). This completely irrelevant and a completely separate issue and they’re nickel and diming me over 5$. This makes absolutely no sense. The customer service quality has gone downhill from before.","March 17, 2019",1.0
"My wife and I are in our 70s and usually only use Uber when traveling out of our own area. Still, I'd say we've used Uber about 2 dozen times because we like to travel. All our experiences except two have been positive and those two weren't all that bad or scary just inconvenient. We flit back and forth from Uber to Lyft depending on where we are; some places tend to have more of an Uber presence, some more of a Lyft presence. Both are good values, overall.","March 17, 2019",4.0
I took Uber everyday and although I'm regular customer they treated me badly and made expensive trips for me although for others are cheap so I don't recommend Uber anymore. I'd like to join cream because it is better.,"March 17, 2019",1.0
"On 6/22 at 2:45PM I took an Uber. The driver (""Salaheddin"", who was a much larger man than me and could easily have removed me from his car) claimed that I was drinking in his car in the middle of the day and spilled it all over his seat. I demanded Uber refund the money and they showed me a picture of a cup with some liquid on it, and a car seat cover with some liquid on it. Probably not even his car.","June 28, 2019",1.0
"Uber's customer service department is absolute GARBAGE! All I needed was help changing my password because someone had hacked my account. They wanted information like my social security #, which I was not going to provide. There is no # to call them unless you pay for a premium membership - so I went to their chat support. 7 representatives came into the chat and left immediately without resolving my simple request! Or giving instructions on how to change my ** password! Lyft will have my business from here forward.","June 27, 2019",1.0
I was charged 60 dollars for a ride that was only 16 dollars. I was also put through hell just to get in contact with their support team who did nothing to credit my account. I was then told that it was given in UBER credit after they overdrafted my account. I am very upset that my issue has not been resolved and it happen a week ago. Bad customer support.,"June 25, 2019",1.0
"I usually don't use Uber but I went away and had no one to take me. I had a Uber gift card but not enough money for both ways. Instead of using the balance on the gift card and charging the rest to my regular card, they did not bother to charge my gift card. They refuse to give me a refund. Customer service is the absolute worst because there is absolutely no number to call. It is by email only. This company is ridiculous and I would find another company to use.","June 24, 2019",1.0
"I have driven with Lyft for quite some time and I have a 5 star driver rating. I say that to clarify it's not me. I have been trying to sign up to drive with Uber quite unsuccessfully for the better part of year. With two separate accounts even. Both times with both accounts after passing background checks and all other necessary REQUIREMENTS they have held me up each time because they claim I am submitting a profile picture that isn't visible. I have submitted photo after photo after photo after photo, some of which were currently being used and or accepted by Lyft and Hyre. So it cannot be possible that these photos are anything other than exactly what is requested.","June 24, 2019",1.0
"2 fraudulent trips on bank acct. Called Uber. Support only available thru app. I don't do data. Went to website. First time ever. My email was already in use. Used forgot password option 3 times. They sent LINK to reset password. I used it. Then a 4 digit code was required to complete password change. There was NO code in ANY of my emails from them. Can't sign in. Can't try to get my money back from the fraud. Bank still to investigate, but they had advised me to call Uber about it in case their investigation (claim) provided no results for me. WORST COMPANY EVER!!!","June 19, 2019",1.0
"I take pride in driving, that is why I am quitting today. During drive time I may pick up a lawyer, a wink, a prostitute or kids that need a diaper change or a random person who doesn't bath. My cars are cleaned 5 times a day and I carry spray. So for a guest in my car to say I need deodorizer that's rude. If I am driving through a green light and it turns yellow one cannot stop in the middle of the street. There is a reason a passenger doesn't have a car. Uber never asks the driver about the passenger reports, so I am quitting. I will never give one of these passengers a ride anywhere in my car. Uber cheats drivers daily, they only hire Asian customer service reps, and the guy who works at the San Bernardino green light is a huge ** who wears a sweater and basketball shorts. If you do not drive 12 hours the dispatch punishes drivers with 2.00 fares for up to six hours. That's why they are being sued for unfair practices.","June 19, 2019",1.0
"My first experience did not go well. I’m in Waikiki and needed a ride from a hotel to a restaurant for a scheduled luncheon. The app worked well and the driver was to arrive in 3 minutes. There were pick-up time adjustments as the 3 minutes passed and 15 minutes elapsed. We are now late for the luncheon when a text is received from the driver that he cancelled our ride. A new Uber request is sent and a driver dispatched with a, ""be there in 3 minutes."" No Uber after 6 minutes; however, the driver telephoned to indicate she was lost but should arrive soon. We stayed in touch by phone discussing her locations location as updates were provide. The car finally arrived and on our way to the luncheon arriving 50 minutes late. My return to the hotel from the restaurant went well.","June 18, 2019",3.0
"I booked an Uber ride and the driver immediately accepted the trip. The app showed me that the driver is very close to my starting point, but I could not find him anywhere. Then within seconds I received a notification saying that I am in the trip and will arrive at my destination soon. But I was still waiting at my starting point waiting for the driver to arrive. I wrote to the driving asking him where he is. No reply, and I could see him moving towards my destination.","June 17, 2019",1.0
"I do not drive. Mostly I walk. Since I fractured a bone in my foot, though, I haven’t been able to walk, not even to a train station or bus stop. I have been utilizing Uber and it has been a godsend - the drivers are polite, the cars new and sometimes even fancy. Other than a few navigational mistakes, my experience with Uber has been great. Gets a little pricey, though. Can’t wait to have my foot back!","March 17, 2019",5.0
"Depending on the location you can get a wide range of Customer service when it comes to drivers. My experience has basically been a good one. Places like San Diego seem to have a lot nicer more laid back attitude, mostly students making money. Other places like downtown Los Angeles and most airports have unfriendly drivers where they let you know, they are just there to drive, no help with luggage, no chit chat.","March 17, 2019",4.0
It’s a great service. It’s fast and reasonable price. I always use this service although I have a car and can drive but Uber is easier than finding parking. I always recommend it to my friends. I thank you for the service Uber provided us all the time.,"March 17, 2019",5.0
"The driver was late and he smelled badly. He was rude and a bit disconcerting. I considered not staying in the car, but I was going to be late if I waited for another ride. I wish I had done that.","March 17, 2019",2.0
I rate Uber lower since they added per minute charges. Their appeal came from the flat fee which set them apart from taxis' services. Additionally there is no way to get a specific driver if you like riding with them.,"March 16, 2019",3.0
Thrifty for short trips when you have limited time and no car. Longer distances can be pricey and I generally like cheaper bus or rail if available. Or sometimes you can rent a car for a day for $15 or less.,"March 16, 2019",4.0
"They need to treat patrons better than they do. Besides there are so many options besides them. It is so much easier to go with someone else for the same service. I have been changing my provider, and better background checks would be nice. The people seem so random.","March 16, 2019",1.0
"Uber has provided me and my family with a quick and easy way to get around that doesn't break the bank. I have had very few issues with Uber, the toughest part is usually when travelling internationally, trying to get picked up in multi-level airport parking structures.","March 16, 2019",5.0
"Horrible experienced. I lost my personal belonging at one of theirs Uber car and I have emailed helpline with all pictures of the lost item and drivers details. But just because trip has not been booked from account no one is going to help. I spoke with phone helpline supervisor Angela and she told me clearly that she will not get in touch with driver to ask about my lost item just because the trip has not been booked from my account besides that I have all necessary drivers and trip details. Angela told me too that Uber doesn't have complains email, how convenient isn't it. Well I think it's time to start use other apps as this days Uber is getting too expensive and as you can tell does care about their passengers and their belongings as they are only an agent.","March 15, 2019",1.0
"This company should be out of business... I returned to Uber after 1 1/2 years just to make a little money to pay a bill. I drover March 9 and 10 for about a 1 each day. I made $68.27. I needed the money fast to pay a bill on Monday March 11, I tried to cash out and they stop me from cashing out... They kept saying something was wrong with my bank information... How can that be when I've had the same bank information for over 5 years and the same as when I drove for them a year and a half ago.","March 15, 2019",1.0
"Apparently, it must be an easy way for Drivers (and Uber) in the Miami, Florida area to make a quick buck without working, as I was hit with not one, not two, not three, but SEVEN bogus charges within the span of 2 weeks. The game apparently works like this: you request a ride, the driver accepts the ride request, the driver gets near the pickup spot, cancels the request, charges your card for the cancellation (hoping you never notice the charge), then goes on to his/her next victim in the area.","June 17, 2019",1.0
"Used Uber MANY times. Car is always clean - much better than taxicabs which are typically more disgusting than the restroom of a bus station. Also, getting the ride is much more reliable. No phone call to a dispatcher and waiting an hour or more. You can watch the car on your phone as it approaches.","March 15, 2019",5.0
"I have used Uber during the day or early evenings. The drivers are very dependable and reliable. They are courteous and have displayed in my experience, a sincere professional attitude. I have felt very safe as a passenger.","March 15, 2019",5.0
"Some of the rides were great, some were awful. One car had no A/C, another car had a seat full of crumbs that I had to sit in, another car had all the seats slashed, another was not the car I asked for, but a very high Chevy Truck I could not get into. I had to go inside the doctor's office, where I had just left, to get a stool so I could climb into the truck. The Uber driver refused to cancel as he would be penalized, and I refused to cancel for the same reason. To end the stalemate, I was lucky the doctor's office had a stool. Uber is great for when you need a ride and are unable to drive for medical or other reasons. However, Uber does not seem to have any consensus control over the cars people are driving. Out of all the rides I needed, 50% were great and 50% were awful. I am thankful I am able to drive again.","March 15, 2019",3.0
"Uber does a good job of providing the service, but lately their fares have been going up and they now have discontinued the express pool service. The idea is to give a more affordable method of transportation, right?","March 15, 2019",4.0
Customer service sucks. You make a complaint against a driver & nothing happens. They work on a star rating but after complaints stars remain the same. I only use Uber because it’s cheaper than taxi. Also communicating with driver is difficult because English is not their native tongue. As for the app they use to travel needs some serious looking at. It takes the long way home.,"March 15, 2019",3.0
"I ordered on 12 March-19 at around 12:40 PM then order confirm and then after 15 mins I received delivery boy contact number so I called him but his number not reachable and after 5 mins it's showing on the way, then again I called him but still not contacted then I called customer care. One executive received my call (VIKAS). He told me, ""Sir please wait for some time. Order is on the way and I also tried to contact with delivery person, but it's not contactable so please wait for some time."" ","March 14, 2019",1.0
I've used Uber 3 times now to go local places usually 10 miles or less. All guy drivers and it’s definitely scary getting into a car with a stranger. I would call a regular taxi company if I needed a ride at night and I was alone. I don’t trust Uber to do a good job of vetting their drivers.,"March 14, 2019",5.0
"Uber is great for infrequent rides like to events at small venues, trips to the airport, etc. It features reasonable convenience and cost; however, surge pricing punished folks who had come to depend on Uber for more frequent usage.","March 14, 2019",4.0
"I have used Uber and always had a great driver and no problems. However, the safety of it does freak me out. But it's JUST like a taxi right? It is a great way to get around especially on vacations! So is the taxi. I'm not sure why I feel more comfortable in a cab without knowing the driver than an Uber. Maybe I've just watched too many TV shows.","March 14, 2019",3.0
I am very pleased with the service and the professionalism of the drivers. I am a travel nurse and I am in different states often and I use Uber and I am never disappointed with the drivers. They are courteous and on time to pick me up. I feel safe when I’m in the vehicle on a trip.,"March 14, 2019",5.0
"As a driver you are always wanting to protect yourself by having a dash camera to present evidence for any allegation, I had to file a police report with the Philadelphia Uber hub Office for not submitting my - camera footage and even possibly performing negligence by using my - camera footage with my customers and myself in inappropriate ways. When traveling with any company such as even uber. When they have no way of protecting the customer or driver to reassure nothing happened that was illegal or immoral there is a security concern. ","Oct. 31, 2019",1.0
"I have been with Uber for over 5 years now and I am a frequent user for work, personal and food rides. I also am rated at 4.83/5 which should tell you that I am not one to be rude or complain about every single bit, until now. Last night I took the uber pool due to the insane surge charge but I didn’t think my experience would be horrific. I live 1.7 miles away from my pick up spot which is roughly 10 minutes at most away. It took me 30 minutes to get home. If this was traffic I could understand but it was the unreasonable amount of pick up and out of the way route that caused all of this. ","Oct. 30, 2019",1.0
I had an accident with an Uber driver in Mexico City. The car that I got into had no side mirror. The Brakes were not working properly either. I almost got into an accident twice. The driver's conversation was unpleasant. Being a foreigner he was very curious to ask where I am from and what brought me to Mexico. I replied to be a tourist and thought that conversation is over. He became very rude and asked me if I came to look for a Mexican husband. I never answered and kept quiet. He took the wrong route and made several in requested stops. Having in mind it was uberX. He continued. Asked me whom I sleep with. He literally stopped the car and asked me to wait for him text someone. I asked him to let me go and take a different driver but he locked the doors and didn't allow me. ,"Oct. 29, 2019",1.0
I have had my account completely hacked to where I cannot sign in or view it. Someone spent over $1k in Uber rides on my credit and debit cards linked to the account and when I dialed the only number available (safety line) I was told I would need to wait until another department emailed me. I didn't hear anything for almost 24 hours and when I did it was a prompted message that did not help at all. It has been almost 2 days and I still have no received a phone call or any helpful support via email. This is a nightmare and the WORST customer service I have ever experienced. I am going to be filing a police report to the person who myself and the driver caught fraudulently using my account and looking into an attorney for Uber not making identity theft a priority and rectifying the situation on their end.,"Oct. 28, 2019",1.0
I requested an 8 mile ride in Boston on a Saturday night around 1:00 am that was coming up around $55 on the app and Lyft was around the same rate. Ended up taking a regular cab that cost me $20. Beware of high rates.,"Oct. 27, 2019",1.0
"I’ve been driving off and on with the company since 2016. Since I have been driving in a new place, I noticed Uber is taking more than 50% of the fare. A passenger paid $7.52. Uber took $4.52 and just gave me $3. I have driven for 13 hours and not even paid $100. Majority (99.9%) of my fares never hit $7. Where I was making over a $200 a day, now it’s $60, $70 maybe $90. And don’t forget to tack on a full tank of gas which is over $30 for my car. And the maintenance upkeep that I accrue more quickly because of rideshare. I will never drive nor think about riding for or with them again.","Oct. 27, 2019",1.0
Uber is overcharging for Toll fees. When In Florida the Tolls fees estimates between $ .75 to $ 2.00. Uber price shown will be Example $ 16.73 for the ride. After you take the ride you get charge 28.23 and when you check the account it's telling you that you got charge for Tolls. The driver never took the toll route and you try to contact Uber company and they take long to get back to you about the issue of being overcharge. I try to email them and let them know about the extra charges and why am I being charge for a service that I didn't receive.,"Oct. 25, 2019",1.0
"I had an airport flight today. Uber would not accept my credit card, my Venmo, or my PayPal. As a last resort I brought an Uber gift card to cover my ride to the airport. I’ll be damned the Uber App wouldn’t even accept their own gift card. My daughter downloaded three of her cards to her app to buy me a ride and sure enough they wouldn’t accept her cards either. As a last resort she brought me a ride from Lift with no problem. I’m sending Uber back their gift card certified mail and demanding a refund. After much stress I barely made my flight. I’m also deleting Uber’s App and will never, ever use them again. Laura","Oct. 24, 2019",1.0
"In July of this year I had sushi delivered to me in Mexico by UberEats, a subsidiary of Uber, on five occasions. The total cost was 1,918 pesos -- about $100 US. However, I was billed $1,919 dollars(!) on my credit card; something I discovered at the end of the month when paying my credit cards. I contacted Uber Customer Support (Uber does not provide any number to call, so all customer service work has to be through the via email messaging) and I was told that, due this was a glitch in the app and my charges would be refunded.","Oct. 23, 2019",1.0
"My driver, Rohan was nice, but when I tried to add tip I noticed that he had switched my $9 9am fare in French Quarter to someone else's 2pm trip in Metairie for $28.00! UBER refused to acknowledge. 5 attempts to rectify problem and received nothing but irrelevant automated replies. If you get in the car with Rohan in NOLA and he says he can't get his system to work, it's a a SCAM. Terrible customer service from UBER with zero relevant assistance after 7 days of requesting corrected bill. BEWARE.","Oct. 23, 2019",1.0
"I ordered our meal on Mother's Day. Finally I get an update that security would not let the driver in. I texted, ""Where are you?"" He stated my job. I've explained 3 times that is not the place I entered and asked when he would be at my address 5 miles away. The driver cancelled my order and refused a refund. I contacted Door Dash for the same restaurant and they saved the day. DO NOT USE UBER EATS!","May 14, 2019",1.0
"Months ago, I purchased & loaded an Uber gift card on my Uber app. It then refused to accept the gift card DEMANDING additional credit or debit card... Hi-jacking & holding the money I spent & entered on the app of their official gift card. Months later, I entered a debit card issued by MetaBank in Iowa & it refused to accept it!!! Now, after nearly 2 hours of trying to access my account data, it won't accept my password. After over an hour of trying to reset my password and receiving numerous reset codes from Uber, they still won't allow me access the account! What they're doing is personal data collection of phone number, debit & credit cards, email address & social media accounts. Who's paying them to collect personal data! Sneaky way of personal data collection & robbery at the same time.","May 14, 2019",1.0
