dealer_name,contact,address
Van Ko Enterprises - Otley,"Josh Van Kooten, jdvankooten@gmail.com","319 152nd Place, Otley, IA 50214, 
, 
, 
"
Van Wall Equipment - Colfax,"Sales Department, Mark.See@vanwall.com","502 Highway 117 North, Colfax, IA 50054, 
, 
, 
"
Van Wall Equipment - Greene,"Sales Department, Mark.See@vanwall.com","11213 Highway 14, Greene, IA 50636, 
, 
, 
"
Van Wall Equipment - Denison,"Sales Department, Mark.See@vanwall.com","701 Hwy. 39 North , Denison, IA 51442, 
, 
, 
"
Van Wall Equipment - Ankeny,"Sales Department, Mark.See@vanwall.com","507 S Ankeny Blvd, Ankeny, IA 50021, 
, 
, 
"
Town & Country Implement - Rock Valley,"Sales, sales@townandcountryimpl.com","3105 Eagle Avenue, Rock Valley, IA 51247, 
, 
, 
"
Van Wall Equipment - Carroll,"Sales Department, Mark.See@vanwall.com","Highway 71 North, Carroll, IA 51401, 
, 
, 
"
Van Wall Equipment  - Albia,"Sales Department, Mark.See@vanwall.com","1950 Highway 137, Albia, IA 52531, 
, 
, 
"
Titan Machinery - Williams,"Sales Department, leadmanagement@titanmachinery.com","3093 220th Street, Williams, IA 50271, 
, 
, 
"
Titan Machinery - Waverly,"Sales Department, leadmanagement@titanmachinery.com","2801 4th Street SW, Waverly, IA 50677, 
, 
, 
"
Titan Machinery - Pella,"Sales Department, leadmanagement@titanmachinery.com","408 SE 9th Street, Pella, IA 50219, 
, 
, 
"
Titan Machinery - Le Mars,"Sales Department, leadmanagement@titanmachinery.com","16897 Madison Ave., Le Mars, IA 51031, 
, 
, 
"
Titan Machinery - Grundy Center,"Sales Department, leadmanagement@titanmachinery.com","23604 Diagonal Road, Grundy Center, IA 50638, 
, 
, 
"
Titan Machinery - Sioux City,"Sales Department 4, 4, leadmanagement@titanmachinery.com","5601 Harbor Drive, Sioux City, IA 51111, 
, 
, 
"
Titan Machinery - Kingsley,"Sales Department, leadmanagement@titanmachinery.com","112 Hwy. 140 North, Kingsley, IA 51028, 
, 
, 
"
Titan Machinery - Davenport,"Sales Department, leadmanagement@titanmachinery.com","3136 76th Street West, Davenport, IA 52806, 
, 
, 
"
Titan Machinery - Center Point,"Sales Department, leadmanagement@titanmachinery.com","4250 Grain Lane, Center Point, IA 52213, 
, 
, 
"
Steve Robinson Equipment - Mechanicsville,"Steve Robinson, skbr@netins.net","2739 160th Ave., Mechanicsville, IA 52306, 
, 
, 
"
Titan Machinery - Avoca,"Sales Department, leadmanagement@titanmachinery.com","502 West High Street, Avoca, IA 51521, 
, 
, 
"
Titan Machinery - Blairstown,"Sales Department, leadmanagement@titanmachinery.com","2116 76th Street, Blairstown, IA 52209, 
, 
, 
"
Sheldon Power & Equipment - Sheldon,"Brady Peters, brady@sheldonpower.com","125 N 3rd Ave., Sheldon, IA 51201, 
, 
, 
"
Schmitt Implement - Holy Cross,"Jack Schmitt, Sales Manager, schmittimplement@gmail.com","23044 Rt. 52 N, Holy Cross, IA 52053, 
, 
, 
"
Swartzrock Implement Co. - Charles City,"Steven  Swartzrock, Owner, bikeacrossiowa@gmail.com","2192 Old Hwy. Road, Charles City, IA 50616, 
, 
, 
"
"Ryan Machinery Sales, Inc. - Protivin","Dale Ryan, President, djryan6944@gmail.com","320 Chyle Street, Protivin, IA 52163, 
, 
, 
"
Rueter's Equipment - Sioux City,"Sales, websales@rueterco.com","4730 South York Street, Sioux City, IA 51106, 
, 
, 
"
Rueter's Equipment - Elkhart,"Sales, websales@rueterco.com","2425 NE 126th Ave., Elkhart, IA 50073, 
, 
, 
"
Sorensen Equipment Company - Harlan,"Roger, Corey Sorensen, sales@sorensenequipment.com","2104 23rd Street, Harlan, IA 51537, 
, 
, 
"
Rueter's Equipment - Grand Junction,"Sales, websales@rueterco.com","Hwy. 30 West, Grand Junction, IA 50107, 
, 
, 
"
Rueter's Equipment - Osceola,"Sales, websales@rueterco.com","1827 Tieken Dr., Osceola, IA 50213, 
, 
, 
"
Roeder Implement - Dubuque,"John Roeder, General Manager/Sales Manager, john@roederimplement.com","2550 Rockdale Rd., Dubuque , IA 52003, 
, 
, 
"
Rueter's Equipment - Carroll,"Sales, websales@rueterco.com","Hwy. 30 East, Carroll, IA 51401, 
, 
, 
"
Rueter's Equipment - Council Bluffs,"Sales, websales@rueterco.com","1132 31st Ave., Council Bluffs, IA 51501, 
, 
, 
"
Roeder Brothers - Bellevue,"Nick Roeder, nick@roederbrothersinc.com","900 State Street, Bellevue , IA 52031, 
, 
, 
"
Rolling Hills Equipment,"Ryan Ernst, Owner, info@rhequip.com","1023 Hwy 59, Schleswig, IA 51461, 
, 
, 
"
Red Power Team - West Bend,"Joe Montag, Store Manager, shawnm@redpowerteam.com","101 - 130th St., West Bend, IA 50597, 
, 
, 
"
Red Power Team - Spencer,"Brad Hyde, Manager, shawnm@redpowerteam.com","3695 Hwy. 71, Spencer, IA 51301, 
, 
, 
"
"Reiser Implement, Inc. - Waukon","Ken Reiser, Owner/Sales Manager, kenr@reiserimpl.com","740 9th St. NW, Waukon, IA 52172, 
, 
, 
"
Red Power Team - New Hampton,"Doug Quinn, General Manager, shawnm@redpowerteam.com","2205 240th Street, New Hampton, IA 50659, 
, 
, 
"
Red Power Team - Manson,"Dave Plahn, General Manager, shawnm@redpowerteam.com","221 Eighth Street, Manson, IA 50563, 
, 
, 
"
Red Power Team - Estherville,"Kenny Garman, Store Manager, shawnm@redpowerteam.com","2703 Murray Rd., Estherville, IA 51334, 
, 
, 
"
Red Power Team - Mason City,"Larry Reddel, Store Manager, shawnm@redpowerteam.com","10997 265th St., Mason City, IA 50401, 
, 
, 
"
Robinson Implement - Pocahontas,"Sales Department, robinsonimplement8@gmail.com","1400 W Elm Ave, Pocahontas, IA 50574, 
, 
, 
"
Red Power Team - Corwith,"Bob Collins, General Manager, shawnm@redpowerteam.com","301 1st Street, Corwith, IA 50430, 
, 
, 
"
Plagge Equipment - Clear Lake,"Tony Plagge, plaggeequipment@yahoo.com","43 Lido Road, Clear Lake, IA 50428, 
, 
, 
"
Recker's Enterprises - Hopkinton,"Corey Recker, cerecker@yousq.net","3115 310th Ave., Hopkinton, IA 52237, 
, 
, 
"
Prairie Ag Supply - Prairie City,sales@prairieagsupply.com,"12372 IA-163, Prairie City, IA 50228, 
, 
, 
"
P&K Midwest - Waverly,"Brian Wrage, Store Manager, waverly-sales@pkmidwest.com","1416 4th Street SW, Waverly, IA 50677, 
, 
, 
"
P&K Midwest - Mt. Vernon,"Kyle Kunkel, Store Manager, mtvernon-sales@pkmidwest.com","787 Wilcox Road, Mt. Vernon, IA 52314, 
, 
, 
"
P&K Midwest - Waterloo,"Matthew Pifkin, Store Manager, waterloo-sales@pkmidwest.com","2415 Sergeant Road, Waterloo, IA 50701, 
, 
, 
"
P&K Midwest - Maquoketa,"Angie Petersen, Store Manager, maquoketa-sales@pkmidwest.com","1010 220th Ave., Maquoketa, IA 52060, 
, 
, 
"
P&K Midwest - Lowden,"Taylor Schwartz, lowden-sales@pkmidwest.com","2157 Old Lincoln Hwy., Lowden, IA 52255, 
, 
, 
"
P&K Midwest - Keystone,"Herk Schmidt, Store Manager, keystone-sales@pkmidwest.com","7089 15th Ave., Keystone, IA 52249, 
, 
, 
"
P&K Midwest - Sumner,"Greg Prochaska, Store Manager, sumner-sales@pkmidwest.com","1414 W 1st, Sumner, IA 50674, 
, 
, 
"
P&K Midwest - Hiawatha,"Kevin Gunderson, Store Manager, hiawatha-sales@pkmidwest.com","733 N. Center Point Road, Hiawatha, IA 52233, 
, 
, 
"
Red Power Team - Humboldt,"Rob Hinton, General Manager, shawnm@redpowerteam.com","Highway 169 North, Humboldt, IA 50548, 
, 
, 
"
P&K Midwest - DeWitt,"Neil  Mason, dewitt-sales@pkmidwest.com","1801 11th St., DeWitt, IA 52742, 
, 
, 
"
"O'Brien County Implement, Inc. - Sheldon","Jay Schemper, Marketing Manager, obcijay@nethtc.net","111 Country Club Road, Sheldon, IA 51201, 
, 
, 
"
"Nessa, Inc. - Zearing","Luke or Kevin Nessa, Owner, info@nessainc.com","73747 130th Street, Zearing, IA 50278, 
, 
, 
"
Martin Ag Supply - Orchard,"Sales Department, martinag@ibyfax.com","3128 Mitchell Line Street, Orchard, IA 50460, 
, 
, 
"
McRobert's Red Power - Greene,"Adam Otto, Manager, shawnm@redpowerteam.com","3080 Hwy. 14, Greene, IA 50636, 
, 
, 
"
Leid View Tractors - Osage,"Kevin Leid, Sales, jdtractors@pcfreemail.com","3760 Primrose Ave. , Osage, IA 50461, 
, 
, 
"
Lindeman Tractor - Atlantic,"Sales Department, chrisw@qwestoffice.net","715 West 7th Street, Atlantic, IA 50022, 
, 
, 
"
Kunau Implement - Preston,"John Marshall, sales@kunauimplement.com","420 West White Street, Preston, IA 52069, 
, 
, 
"
Nate's Tractor - Riceville,"Nathan Fox, Owner, nate@natestractor.com","11939 Birch Ave, Riceville, IA 50466, 
, 
, 
"
Mid-Iowa Auction Company - Marshalltown,"Matt Paglia, matt@midiowaauctioncompany.com","2406 Eagle Ridge Drive, Marshalltown, IA 50158, 
, 
, 
"
"Kruseman Implement, Inc. - Sully","Doyle Huyser, Owner, krusemanimpl@netins.net","102 1st St., Sully, IA 50251, 
, 
, 
"
Koshatka Farm Equipment - Protivin,"Sales, zach@koshatkaeq.com","3354 100th St., Provitin, IA 52163, 
, 
, 
"
Kibble Equipment - Osage,"Kelly Ott, Sales Manager, kelly.ott@kibbleeq.com","2197 Hwy. 218 E, Osage, IA 50461, 
, 
, 
"
Kunau Implement - DeWitt,"John Marshall, sales@kunauimplement.com","2114 270th Avenue, DeWitt, IA 52742, 
, 
, 
"
Kibble Equipment - Northwood,"Chris Thofson, Sales Manager, chris.thofson@kibbleeq.com","1806 Central Ave., Northwood, IA 50459, 
, 
, 
"
Keast Enterprises - Henderson,"Keast Enterprises, Sales Manager, grant@keastenterprises.com","45565 Aspen Road, Henderson, IA 51541, 
, 
, 
"
Kromminga Motors - Monticello,"Don Peters, DHPeters@krommingamotors.com","19415 U.S. Business HWY 151 S, Monticello, IA 52310, 
, 
, 
"
Kromminga Motors - Vinton,"Don Peters, DHPeters@krommingamotors.com","1006 W 4th Street, Vinton, IA 52349, 
, 
, 
"
Keim Farm Equipment - Hamburg,"Bruce Keim, Sales, bkeim@hamburgia.net","401 E St., Hamburg, IA 51640, 
, 
, 
"
K.C. Nielsen LTD. - Titonka,"Sales Department, tsn@kcnielsen.com","2120 330th Street, Titonka, IA 50480, 
, 
, 
"
K.C Nielsen LTD. - Laurens,"Doug Basset, Store Manager, tsn@kcnielsen.com","12140 440th St., Laurens, IA 50554, 
, 
, 
"
K.C Nielsen LTD. - Woolstock,"Dennis Simmons, Store Manager, tsn@kcnielsen.com","223 Herman St., Woolstock, IA 50599, 
, 
, 
"
KDK Sales & Equipment - Washington,"Greg Koch, Owner/Principal, greg@kdkgroup.com","214 S. Airport Rd., Washington, IA 52353, 
, 
, 
"
K.C. Nielsen LTD. - West Bend,"Sales Department, tsn@kcnielsen.com","5 135th Street, West Bend, IA 50597, 
, 
, 
"
K.C Nielsen LTD. - Manson,"Jeff Eischeid, Sales Manager, tsn@kcnielsen.com","215 8th Street, Manson, IA 50563, 
, 
, 
"
K.C Nielsen LTD. - Harcourt,"Tom Rabbitt, Store Manager, tsn@kcnielsen.com","313 Hwy. 169 -175 East, Harcourt, IA 50544, 
, 
, 
"
K.C. Nielsen LTD. - Algona,"Sales Department, tsn@kcnielsen.com","2613 US-18, Algona, IA 50511, 
, 
, 
"
K.C Nielsen LTD. - Humboldt,"Tyler Nielsen, Marketing Manager, tsn@kcnielsen.com","Hwy. 3 East, Humboldt, IA 50548, 
, 
, 
"
"J.P. Scherrman, Inc. - Farely","Paul Scherrman, President, pauls@jpscherrman.com","1350 1st Ave., Farley, IA 52046, 
, 
, 
"
K.C Nielsen LTD. - Kanawha,"Tom Nedved, Store Manager, tsn@kcnielsen.com","203 E Main, Kanawha, IA 50447, 
, 
, 
"
K.C. Nielsen LTD. - Estherville,"Sales Department, tsn@kcnielsen.com","2603 Murray Road, Estherville, IA 51334, 
, 
, 
"
K.C. Nielsen LTD. - Buffalo Center,"Sales Department, tsn@kcnielsen.com","715 1st Ave NE, Buffalo Center, IA 50424, 
, 
, 
"
"J.J. Nichting Co., Inc. - Sigourney",Sales Department,"21582 Hwy 92 East, Sigourney, IA 52591, 
, 
, 
"
"J.J. Nichting Co., Inc. - Pilot Grove","Pat  McCrabb, General Manager , pat@jjnichting.com","1342 Pilot Grove Rd., Pilot Grove, IA 52648, 
, 
, 
"
"J.J. Nichting Co., Inc. - West Liberty",Sales Department,"110 North Columbus Street, West Liberty, IA 52776, 
, 
, 
"
JJAM Equipment - Eagle Grove,"Kevin Burres, Marketing Manager, kpburres@wmtel.net","2560 Green Ave., Eagle Grove, IA 50533, 
, 
, 
"
"J.J. Nichting Co., Inc. - Mt. Pleasant","Pat  McCrabb, Sales Manager, pat@jjnichting.com","707 East Winfield Ave., Mt. Pleasant, IA 52641, 
, 
, 
"
"Jaycox Implement, Inc. - Lake Park",Sales Department,"403 S Market, Lake Park, IA 51347, 
, 
, 
"
Hussey & Company - Belmond,"Josh, Owner, josh@husseyco.com","2797 130th St, Belmond, IA 50421, 
, 
, 
"
Horizon Equipment - Avoca,Internet Sales,"30876 450th St., Avoca, IA 51521, 
, 
, 
"
Horizon Equipment - Manning,Internet Sales,"402 6th St., Manning, IA 51455, 
, 
, 
"
Horizon Equipment - Audubon,Internet Sales,"393 N Market St., Audubon, IA 50025, 
, 
, 
"
Horizon Equipment - Missouri Valley,Internet Sales,"3151 Jopine Place, Missouri Valley, IA 51555, 
, 
, 
"
Horizon Equipment - Woodbine,Internet Sales,"72 Bus Brown Dr., Woodbine, IA 51579, 
, 
, 
"
Horizon Equipment - Adair,Internet Sales,"900 Broad St., Adair, IA 50002, 
, 
, 
"
"Helle Farm Equipment, Inc. - Dyersville","Mike Helle, michaelhelle@hellefarmequipment.com","14155 Rt. 136 N., Dyersville, IA 52040, 
, 
, 
"
Hawke & Company Ag - Alton,"Riley or Dustin, rileyk@hawkeag.com","1605 3rd Avenue, Alton, IA 51003, 
, 
, 
"
Franken Implement - Rock Valley,"Tyler Franken, tylerfranken@frankenimplement.com","2782 360th Street, Rock Valley, IA 51247, 
, 
, 
"
Fertilizer Equipment Specialists - Clear Lake,"Carey Umbarger, President, carey@fes.net","10510 #B 265th Street, Clear Lake, IA 50428, 
, 
, 
"
Grinnell Implement Store - Grinnell,"Sales, 	sales@grinnellimplement.com","1828 6th Ave, Grinnell, IA 50112, 
, 
, 
"
Fenton Repair LLC - Strawberry Point,"Dave Fenton, Manager, fentond@acrec.com","32742 Crystal Rd., Strawberry Point , IA 52076, 
, 
, 
"
"Goos Implement, Ltd. - Gladbrook","Ben Goos, VP, ben@goosimplement.com","1333 Hwy 96, Gladbrook, IA 50635, 
, 
, 
"
"Eldon C. Stutsman, Inc. - Hills","Sales, Sales, mstrait@stutsmans.com","350 Oak Crest Hill Rd. SE, Hills, IA 52235, 
, 
, 
"
Helmuth Repair - Kalona,"Floyd Helmuth, floyd@helmuthrepair.com","1946 110th St., Kalona, IA 52247, 
, 
, 
"
D&L Equipment - Kensett,"Dave Heiken, Marketing Manager, dlequip@wctatel.net","1 Maple St., Kensett, IA 50448, 
, 
, 
"
Dettmann Implement Company - Sac City,"Donavon Dettmann, Owner, detimp@frontiernet.net","1930 West Main Street, Sac City, IA 50583, 
, 
, 
"
"Doug's Sales, LLC","Doug Kleiss, Sales, dougkleiss@gmail.com","2629 270th St., Fredericksburg, IA 50630, 
, 
, 
"
"Del-Clay Farm Equipment - Edgewood, IA","Sales Department, jfunke@delclay.com","1003 210th Ave, Edgewood, IA 52042, 
, 
, 
"
"Cropstar LLC - Yarmouth, IA","Cully Brumwell, cropstarconsulting@gmail.com","23400 205th Ave.  , Yarmouth, IA 52660, 
, 
, 
"
Deike Implement Company - Waverly,"sales, sales, information@deikeimplement.com","1907 East Bremer Avenue, Waverly, IA 50677, 
, 
, 
"
"Cropstar LLC - Colo, IA","Dennis Hapes, dhapes@netins.net","404 PROGRESS DRIVE, COLO, IA 50056, 
, 
, 
"
Coltrain Implement - Albia,"Richard Coltrain, coltrainimpl@sirisonline.com","2066 Iowa 5, Albia, IA 52531, 
, 
, 
"
Cove Equipment - Moscow,"Gary Kelting, Sales, gary@coveequip.com","1288 307th St., Moscow, IA 52760, 
, 
, 
"
Deitering Brothers-Bancroft,"Alan Deitering, Owner/Manager, info@deiteringbrothers.com","1109 360th St, Bancroft , IA 50517, 
, 
, 
"
Cove Equipment - Columbus City,"Gary Kelting, Sales, gary@coveequip.com","2506 Columbus St., Columbus City, IA 52737, 
, 
, 
"
Yarger Machinery Sales - Manito,"Sales Department, tina@yargersales.com","708 South Adams Street, Manito, IL 61546, 
, 
, 
"
"CJ Beeps Equipment, LLC - Farley","Sales, elahey@cjbeepsequipment.com","25011 Lehmann Rd., Farley, IA 52046, 
, 
, 
"
Yarger Machinery Sales - Kewanee,"Rick Yarger, Marketing Manager, tina@yargersales.com","21042 IL Highway 81, Kewanee , IL 61443, 
, 
, 
"
Union Hill Sales & Service - Union Hill,"Chris or Kerry, chris.denault@unionhillsales.com","61 Center Street, Union Hill, IL 60969, 
, 
, 
"
"Vandalia Tractor Sales, Inc. - Vandalia","Chuck Purcell, Sales, chuckpurcell@mts.ag","2611 W Main, Vandalia, IL 62471, 
, 
, 
"
Sydenstricker Nobbe Partners - Wayne City,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","316 South Main Street, Wayne City, IL 62895, 
, 
, 
"
Van Wall Equipment - Rock Island,"Sales Department, Mark.See@vanwall.com","2800 46th Ave, Rock Island, IL 61201, 
, 
, 
"
Sydenstricker Nobbe Partners - Waterloo,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","6469 State Route 3, Waterloo, IL 62298, 
, 
, 
"
Yarger Machinery Sales - Canton,"Sales Department, tina@yargersales.com","1127 W Locust Street, Canton, IL 61520, 
, 
, 
"
Sydenstricker Nobbe Partners - Steeleville,"Lucas Daniel, Used Equipment Sales, usedequipment@snpartners.com","5665 State Route 4, Steeleville, IL 62288, 
, 
, 
"
Sydenstricker Nobbe Partners - Norris City,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","1405 S Division Street, Norris City, IL 62869, 
, 
, 
"
Sydenstricker Nobbe Partners - Benton,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","12047 Street Highway 37, Benton, IL 62812, 
, 
, 
"
Sydenstricker Nobbe Partners - Marion,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","3000 Williamson County Pkwy, Marion, IL 62959, 
, 
, 
"
Sydenstricker Nobbe Partners - Jerseyville,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","26917 Crystal Lake Rd., Jerseyville, IL 62052, 
, 
, 
"
Sydenstricker Nobbe Partners - Flora,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","11265 Old Highway 50, Flora, IL 62839, 
, 
, 
"
Sydenstricker Nobbe Partners - Albion,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","793 Illinois Route 130, Albion, IL 62806, 
, 
, 
"
Stoller International - Streator,"Brent  Bradley, bbradley@stollerih.com","1902 E State Rt. 18, Streator, IL 61364, 
, 
, 
"
"Suchomski Equipment, Inc. - Pinckneyville","Sales Department, sei@egyptian.net","21027 State Rt. 127 N, Pinckneyville, IL 62274, 
, 
, 
"
"C & B Operations, LLC - Lake Park","Nick Elser, Store Manager, elsern@deerequipment.com","22 Lakeland Road, Lake Park, IA 51347, 
, 
, 
"
"C & B Operations, LLC - Sibley","Kyle O'Toole, Store Manager, otoolek@deerequipment.com","1712 Deere Drive, Sibley, IA 51249, 
, 
, 
"
"C & B Operations, LLC - Spencer","Justin Lee, Store Manager, LeeJ@deerequipment.com","3740 Hwy. 71 South, Spencer, IA 51301, 
, 
, 
"
