address,area,book_table,can_order_via_zomato,cost_for_two,cuisine,delivery_reviews,dining_reviews,discount,featured_in,has_menu_available,location,min_amnt_for_discount,rating,res_link,rest_name,rest_type,review_rating,reviews
" 3, Brindavan Complex, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM Layout",BTM,0,Yes,Rs. 400,"Kerala,, ,South Indian,, ,Chinese","29,7",738,,,1,,,"4.1,4.0",https://www.zomato.com/bangalore/muthashys-btm-bangalore,"Muthashy's
                                    ",Quick Bites,"4.0,5.0,5.0,5.0,1.0","good , tasty food,The food was delicious. We were a little skeptical about the hygiene and quality of food esp due to the lockdown, but the food was amazing....the packaging, quality everything was great...loved it..thanks team,Chicken was awesome,Please don't order from this  cheep quality resturent.."
" 20, Sunswept Building, Lokhandwala Complex, 2nd Cross Lane, Near Rajput Dairy, Andheri Lokhandwala Complex, Andheri West, Mumbai","Andheri Lokhandwala, Andheri West",0,Yes,Rs. 600,"Bakery,, ,Desserts,, ,Mithai","4,682",817,,,1,,,"4.2,4.3",https://www.zomato.com/mumbai/dales-eden-cake-shop-andheri-lokhandwala,"Dale's Eden Cake Shop
                                    ",Bakery,"1.0,2.0,5.0,5.0,5.0","The place is over rated. Hated the mango and pineapple pastry. The flavour was awful and felt so moist. Definitely needs to up the game,Dont go to their shop they are not folloqing social distancing norms its all business as usual the possibility contacting virus is very high over here "
" Shop B2, Shree Siddhivinayak Plaza, Off link Road, Opposite Citi Mall, Andheri Lokhandwala, Andheri West, Mumbai","Andheri Lokhandwala, Andheri West",0,Yes,Rs. 700,"Burger,, ,Fast Food","2,724",2859,,Best of Mumbai,1,,,"4.7,4.1",https://www.zomato.com/mumbai/jimis-burger-andheri-lokhandwala,"Jimis Burger
                                    ",Quick Bites,"4.0,5.0,2.0,4.0,5.0","Eat, clean, stay fit, and have a burger to stay sane🥳🤓 One of the best Burger joints in Mumbai. Crazy sized burgers 🍔 @jimisburger,Dishes : Crunchy fried Chicken burger, Mojito,Location 📍 Andheri West, Mumbai,Melt in mouth burgers, satisfying all the cravings.,#Foodburpivore  #Foodie #foodfood #food #foodporn #burger #burgers #burgerporn #yummytummy #foodgasm #foodstagram #foodlover #cheese #cheesy #foodiesofinstagram #yummy,Great food with decent quantity. Anybody who loves burgers will enjoy this place.,Place is famous for their burger. I ordered chicken burger well i must say it was very shite. The chicken was well under cooked patty was warm from outside and ice cold inside and no seasoning and all. It tasted like on of those burger you get for cheap at supermarket which you have to warm yourself. If they want to give their customer frozen patty atleast they should do a nice job cooking it well. The only nice thing about the burger was packaging upside down.,Jimis Burger at Lokhandwala, Andheri has some amazing burgers and quick bites to offer. ,The lip-smacking Classic Veg Burger, containing a deep-fried potato and corn based mixed vegetable patty, complete with fresh cucumber, carrot and mint salad. The achari mayo added a yummy, tangy twist to it. ,One of the best places in Mumbai to have burgers"
" Ghatla village, Near Amar Cinema, Chembur, Mumbai",Chembur,0,Yes,Rs. 250,"Chinese,, ,Fast Food","6,841",260,,,1,,,"3.9,3.7",https://www.zomato.com/mumbai/unique-chinese-point-1-chembur,"Unique Chinese Point
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,4.0","Chicken Green Chilli Rice from Unique Chinese Point. ,Cost : 200/- Rs ,Quality : 3.5/5 ((great)) ,Quantity : Decent quantity (serves 1) ,Rice was really yummy and stomach filling. Also it was worthy ! ,Would recommend it to other as well. ,Although  there is scope of improvements in chicken.. it can be more soft and succulent. ,I love my meal and definitely  enjoyed it ,Thanks Unique Chinese point.,Superb tasty food with reasonable price..thank u for such a tasty food,I ordered chicken lolipop masala dry and chicken unique special rice... Food was delicious. Chicken Lolipop not so fresh but grevy was yummm and rice was totally outstanding. And food delivery was ,on time. Thanks,Worth the money....best Chinese food...i ordered chicken unique special rice and chicken tripple noodles...chicken unique special rice was delicious...loved it.... quantity was sufficient for single person."
" J-2, 25AB, Lajpat Nagar 2, New Delhi",Lajpat Nagar 2,0,Yes,Rs. 500,"Burger,, ,American","27,1",904,,Food Hygiene Rated Restaurants,1,,,"3.9,4.2",https://www.zomato.com/ncr/burger-king-lajpat-nagar-2-new-delhi,"Burger King
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,4.0","I love this place the quality of burger the huge range of burgers are so ja so tasty whenever you eat a non veg or veg both are so I am so delicious and the cheesy fries oh my Good it's so so so young must go and try burger King for any kind of burger,Burger king never dissapoints me...that same taste that soothes my taste bud...i find it in its all outlets,Whoopers are quite large in size to grab it in one bite 🤣"
" 301, The Sapphire Mall, Sector 49, Gurgaon","The Sapphire Mall, Sector 49, Gurgaon",0,Yes,"Rs. 1,100","North Indian,, ,Chinese","2,173",571,10,Brilliant Biryanis,1,,,"4.1,3.1",https://www.zomato.com/ncr/moti-mahal-delux-sector-49-gurgaon,"Moti Mahal Delux
                                    ",Casual Dining,"5.0,5.0,5.0,5.0,5.0",
" 942, Kengeri Main Road, Dwarka Nagar, Channasandra, Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,0,Yes,Rs. 300,Pizza,26,25,,,1,,,"3.7,3.9",https://www.zomato.com/bangalore/megnas-gourmet-rajarajeshwari-nagar-bangalore,"Megna's Gourmet
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,5.0","Excellent 👍 love it ,Nice ambiance and service. Taste was awesome. Good place for weekend ,The only problem was my belly got full🤣🤣, couldn't try all of them😋😋...,Good place for weekend hangout with friends..family.,Very nice ambiance with hot and tasty pizza.,Awsome place for weekend hangout with friends..family.,Very nice ambiance with hot and tasty pizza. ,Staff is also very polite and deliver within time."
" 331, EPIP Area, Near KTPO, Road 5B, Whitefield, Bangalore",Windmills Craftworks,0,Yes,"Rs. 2,500","Continental,, ,North Indian,, ,Kebab,, ,Burger,, ,Desserts",,6504,,Bengaluru's Finest ,1,,,4.9,https://www.zomato.com/bangalore/windmills-craftworks-whitefield,"Windmills Craftworks
                                    ",Microbrewery,"5.0,5.0,5.0,5.0,5.0",I go here frequently since it’s walkable from my place of work. Never got bored of their menu and highly tasty food! 
" 66, 35th Main, 100 Feet Ring Road, Near Silk Board, BTM 2nd Stage, BTM, Bangalore",BTM,0,Yes,Rs. 600,"Bengali,, ,North Indian","10,3",262,10,,1,,,"4.0,3.7",https://www.zomato.com/bangalore/bengali-fun-foods-btm-bangalore,"Bengali Fun Foods
                                    ",Casual Dining,"5.0,1.0,1.0,4.0,1.0",
" C-1, New Krishna Park, Near Janakpuri West Metro Station, Vikaspuri, New Delhi",Vikaspuri,0,Yes,Rs. 750,"South Indian,, ,North Indian,, ,Chinese","3,788",532,,,1,,,"3.1,4.1",https://www.zomato.com/ncr/sagar-ratna-vikaspuri-new-delhi,"Sagar Ratna
                                    ",Casual Dining,"4.0,4.0,4.0,5.0,4.0","Nearest to my home for south indian food...gud for family lunch and dinner, just a little crowded...and slow service ....payment was a little delayed bcz they were having server issues...but other wise gud to go ....🤗,south indian thali is just fantastic.,There is huge variety to choose from but we had ordered masala dosa at this place. The dosa was large and filled properly also good in taste. Well served and staff was also good. ,Sagar Ratna haa never disappointed us. They underwent a change sometime back post which a few old outlets got shut down and a makeover was done on the rest. The food too got the consistency it had been missing.,Have had Masala Dosa, Upma and Rice Idli on various ocassions and have loved it always. Dahi Vada is something I never miss and is a must for me. A great place for a typical South Indian fare."
" Shop 22, Sunrise Building, Near Amisha Hotel, Shivaji Chowk, Kashimira, Mira Road, Mumbai",Mira Road,0,Yes,Rs. 400,"Bakery,, ,Desserts","1,119",,,Sweet Tooth,1,,,4.3,https://www.zomato.com/mumbai/international-baking-company-mira-road,"International Baking Company
                                    ",Dessert Parlor,"5.0,5.0,5.0,5.0,5.0","I have tried their cake multiple times and such a wonderful experience everytime. They totally amaze me with the fresh taste that melts so easily...very delicious cake and worth the amount you pay🎂🎊,We love ur cakes # loyal customer to ull now 🏆,Amazing service provided prompt and responsible delivery of cake kudos to mr kazi and team"
" Shop 7, Rambhau Mahagin Marg, Near Mangala School, Kopri, Thane East, Thane",Thane East,0,Yes,Rs. 500,Malwani,55,24,10,,1,,,"3.3,3.7",https://www.zomato.com/mumbai/sau-malwani-kitchen-thane-east-thane,"Sau Malwani Kitchen
                                    ",Quick Bites,"1.0,5.0,5.0,5.0,5.0","Wonderful food by this joint ....the fish fries were really amazing ...thank you so much,Best of luck ,Food quality is always good.  I always like to order all veg or nonveg dishes. They delivered very tasty food. THANK U SO MUCH  SAU MALWANI KITCHEN "
" 1846/72, D Block, 4th Cross, 3rd Stage, Rajajinagar, Bangalore",Rajajinagar,0,Yes,Rs. 500,"North Indian,, ,Chinese,, ,Street Food","2,078",1041,,,1,,,"4.4,3.8",https://www.zomato.com/bangalore/sagar-hotel-rajajinagar,"Sagar Hotel
                                    ",Casual Dining,"4.0,3.0,4.0,4.0,1.0","Mood for some munchies on a cold late evening ?,Well here's Gobi Manchurian and pav bhaji from Sagar, Rajajinagar. ,DeliciouS to the S. Perfect Spicy starter to the rescue 👻😋,Also, tried mango shake.  One of the rare thick shakes. ,Budget Friendly: 3.5,Service: 4,Taste: 4.5,Serves you the closest comparison of the 'Typical' Bombay tava pulav that you would rather have only in Bombay. "
" 83/1, 2nd Floor, 1st Cross, 4th Main Cashier Layout, Opposite To Swaraj Hyper Market, BTM, Bangalore",BTM,0,Yes,Rs. 300,Burger,"3,380",,50,,1,,,3.9,https://www.zomato.com/bangalore/burger-toll-btm-bangalore,"Burger Toll
                                    ",Burger,"5.0,5.0,5.0,5.0,5.0",
" 19/20, RB Mehta Marg, Tilak Road, Ghatkopar East, Mumbai",Ghatkopar East,0,No,Rs. 500,"South Indian,, ,Fast Food,, ,Street Food","1,173",2428,,,1,,,"4.1,3.5",https://www.zomato.com/mumbai/pure-milk-centre-ghatkopar-east,"Pure Milk Centre
                                    ",Quick Bites,"4.0,5.0,5.0,4.0,4.0",
 Delivery Only,Whitefield,0,Yes,Rs. 400,"Biryani,, ,North Indian",718,,,,1,,,3.2,https://www.zomato.com/bangalore/new-nati-style-donne-biryani-whitefield-bangalore,"New Nati Style Donne Biryani
                                    ",Biryani,"5.0,5.0,5.0,5.0,5.0",
" #235/1, 12th Cross, Wilson Garden, Bangalore",Wilson Garden,0,No,Rs. 250,North Indian,"6,641",144,,,1,,,"4.0,4.0",https://www.zomato.com/bangalore/parathe-wali-gali-wilson-garden,"Parathe Wali Gali
                                    ",Quick Bites,"1.0,5.0,5.0,5.0,5.0","The taste of all the paranthas are just like home cooked very tasty👌,Serves wide range of parathas and my one the favorite from this place is cheese corn paratha. ,Good stuffing and good balance of cheese and corn.,Also love their chutneys👌🏻,Tried paneer tikka paratha. Was my first try on that paratha and could literally get the tikka flavor. Must say all its varieties have different taste and the items are fresh😋😋,Heard a lot about parathe wali gali and finally decided to order.,Worth the name and lovely different range of parathas well cooked and fills your hungry tummy for sure😍👌🏻"
" Shop 1, Nilkanth Park B, Near Jakat Naka, Vitava, Kalwa, Thane",Kalwa,0,Yes,Rs. 400,Bakery,,6,,,1,,,3.6,https://www.zomato.com/mumbai/the-bakers-stop-kalwa-thane,"The Baker's Stop
                                    ",Bakery,"5.0,5.0,5.0,5.0,5.0","Loved the cakes!!! The taste, quality, service everything is best👍🏻,Loved it♥♥,So many Variety with good taste cakes are available.. It's awesome.. ,All types of cakes are available. Fantastic service. Taste is always good. All flavours are there. You won't be disappointed.! ,It was such a wonderful taste....this cakes make my birthday more beautiful... perfect flavour as well as taste. ... I just njoy a lot....thnk youu ..n really it was woowww 😘😘😋😋😋,Have not been to any other cake shop since I ordered one from here...Very impressive service and super yummy cakes with a wide variety of flavours. They customise it too as per occasions. 💯💯💯"
 Delivery Only,Ardee City,0,Yes,Rs. 150,South Indian,,,,,1,,,,https://www.zomato.com/ncr/twidli-1-ardee-city-gurgaon,"Twidli
                                    ",South Indian,"4.0,5.0,5.0,5.0,5.0","Great style with unique taste. I will keep repeating this order again and again. Love it.😄,While Egg Dosa has become popular, never would have imagined a simple dish like idly could be elevated with such a twist!  Perfectly light and fluffy yet soo filling!! The spicy dip 'tokku' with a bust of complex flavors  goes perfectly well with it! ,A Twist in every bite!  "
" 35, Near Eco Space, Outer Ring Road, Bellandur, Bangalore",Bellandur,0,Yes,Rs. 500,"South Indian,, ,North Indian,, ,Chinese,, ,Street Food","6,320",483,,,1,,,"3.7,3.7",https://www.zomato.com/bangalore/the-rasaganga-bellandur-bangalore,"The Rasaganga
                                    ",Casual Dining,"1.0,4.0,1.0,5.0,2.0",
" 32, Bunglow Road, Kamla Nagar, New Delhi",Kamla Nagar,0,No,Rs. 100,Street Food,,1530,,Great Breakfasts,1,,,4.6,https://www.zomato.com/ncr/chache-di-hatti-kamla-nagar-new-delhi,"Chache Di Hatti
                                    ",Quick Bites,"4.0,5.0,5.0,5.0,5.0","if you want your breakfast to be awesome then go to chache di hatti and try chhole bhaturee!! i personally love it and ambience was so good taste was awesome!! i love this place,Delhi is known for chhole bhature and this place is undisputed king for serving the best chhole bhature in Delhi..ofcourse Sitaram at Paharganj is close but this place just takes away only because of its setup! Sitaram is widely known as a brand famous for food packets now, delivering across Delhi..but this still holds that charm of redi wale bhature in a tiny shop in narrow lane of Kamla Nagar..once they open, you will find a long waiting list..for me 5 stars just for their chutney! 😊"
" D3/1, Main Market, Krishna Nagar, New Delhi",Krishna Nagar,0,Yes,Rs. 500,"South Indian,, ,Chinese,, ,North Indian","13,9",653,,,1,,,"4.0,4.1",https://www.zomato.com/ncr/super-snacks-krishna-nagar-new-delhi,"Super Snacks
                                    ",Quick Bites,"5.0,5.0,4.0,5.0,5.0",
" Shaheed Bhagat Singh Lane, Gole Market, New Delhi",Gole Market,0,No,Rs. 300,"Rolls,, ,Chinese,, ,Fast Food,, ,North Indian","16,9",631,,,1,,,"3.9,4.2",https://www.zomato.com/ncr/kababs-n-roll-gole-market-new-delhi,"Kababs N Roll
                                    ",Quick Bites,"5.0,5.0,5.0,1.0,4.0",
" Select Citywalk Mall, Saket, New Delhi","Select Citywalk Mall, Saket",0,Yes,Rs. 450,"Bakery,, ,Desserts,, ,Fast Food",706,479,,Sweet Tooth,1,,,"4.4,4.4",https://www.zomato.com/ncr/breadtalk-saket-new-delhi,"BreadTalk
                                    ",Bakery,"3.0,5.0,4.0,2.0,5.0",
" 40/3, 7th Cross Road, Bhavani Nagar, Suddagunte Palya, BTM, Bangalore",BTM,0,Yes,Rs. 200,"Beverages,, ,Juices,, ,Ice Cream","12,1",158,,,1,,,"3.4,3.5",https://www.zomato.com/bangalore/caramel-shake-btm-bangalore,"Caramel Shake
                                    ",Beverage Shop,"5.0,5.0,1.0,1.0,1.0",
 Delivery Only,Marathahalli,0,Yes,Rs. 400,North Indian,27,,15,,1,,,2.8,https://www.zomato.com/bangalore/kulcha-kulture-marathahalli-bangalore,"Kulcha Kulture
                                    ",North Indian,"5.0,5.0,5.0,5.0,5.0",
" G5, Mfar Retail Block, Manyata Tech Park, Nagawara, Bangalore",Nagawara,0,No,Rs. 600,"Italian,, ,Fast Food",749,200,,Best of Hyperpure,1,,,"3.7,4.2",https://www.zomato.com/bangalore/pasta-factory-nagawara,"Pasta Factory
                                    ",Quick Bites,"4.0,5.0,4.0,4.0,4.0",
" Shop 17, Building 3, NG Shelter, Beverly Park, Mira Road, Mumbai",Mira Road,0,No,Rs. 500,Maharashtrian,,14,10,,1,,,3.7,https://www.zomato.com/mumbai/assal-solkadhi-mira-road,"Assal Solkadhi
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,5.0","If you want to have a,''Plate Full of Happiness?'' do visit the restaurant.❤,The food is absolutely delicious, the owner and the staff is very friendly and the ambience is  Perfectly Perfect 😍😍,Best Malwani Cuisine I have ever had, Food was very much fresh and tasty. Must try this restaurant to experience yummy and fresh food. "
" G 3, Central Market, Block A, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,0,Yes,Rs. 300,"Rolls,, ,Fast Food","6,670",,,,1,,,4.1,https://www.zomato.com/ncr/chicken-bite-anand-vihar-new-delhi,"Chicken Bite
                                    ",Quick Bites,"2.0,5.0,5.0,4.0,4.0","Chicken Bite is located in Surajmal Vihar Market. ,Chicken Bite offers you variety of chicken sandwiches, Kathi Rolls, Burgers and Shawarmas.,Their menu is interesting but when it comes to the quality, I would say BIG NO. ❌,Recently, I tried their chicken shawarma and when I had a first bite, I felt quality of chicken & mayonnaise was so poor. Quantity is also not up to the mark.,I will prefer a shawarma roll and kathi roll from HangOut (A famous outlet), which provides you a better quality of chicken.,Quality - 2/5,Quantity - 3/5,Packing - 4/5,bhai butter chicken roll please add kar do "
" Super Gas Society, Near Petrol Pump, SV Road, Dahisar East, Mumbai",Dahisar East,0,Yes,Rs. 700,"Chinese,, ,Seafood,, ,North Indian","1,092",130,,,1,,,"3.6,3.7",https://www.zomato.com/mumbai/kamdars-chinese-food-dahisar-east,"Kamdar's Chinese Food
                                    ",Casual Dining,"1.0,1.0,3.0,5.0,1.0","Ordered food which was tasting really weird and full of red color added in it... informed the restaurant but they weren't concern about it... not recommendable...,I had updated a correct address however purposely it didn’t reach to my place .... neither I got refund ,Dahisar East Hotel Kamdar"
" 11/12, 1st Floor, Raghu Building, 1st Cross, Horamavu Main Road, Banaswadi, Bangalore",Banaswadi,0,Yes,Rs. 600,"Chinese,, ,North Indian,, ,Mughlai,, ,Biryani,, ,Andhra,, ,Seafood","3,989",150,15,,1,,,"3.7,3.8",https://www.zomato.com/bangalore/sri-ruchi-restuarant-banaswadi-bangalore,"Sri Ruchi Restuarant
                                    ",Casual Dining,"1.0,5.0,5.0,5.0,4.0","Worst food served. Not a good choice of hotels in Banaswadi. Full of sand granules and stones in every bite. Tried calling the hotel but no response. ,Best biryani. Wonderful taste with good spicy and too much quantity for one full biryani."
" Sports & Cultural Club, Sector 15, Noida","Sector 15, Noida",0,Yes,Rs. 700,"Healthy Food,, ,Beverages",188,63,15,Great Breakfasts,1,,,"3.7,3.9",https://www.zomato.com/ncr/getafix-petit-sector-15-noida,"Getafix Petit
                                    ",Casual Dining,"5.0,5.0,5.0,5.0,5.0","So glad its open again! Was craving the Philly dilli and the sourdough pizzas so much!,Must try! ,I have been a regular customer at Getafix petit and have always enjoyed each dish that I tried from here. They offer a range of guilt-free options which taste so delicious! My favorites are the paneer shawarma, paneer tikka roll, Popeye pizza, the pastas and ofcourse the fresh juices they serve with love! Their portion sizes are big enough to fill your stomach, satiate your cravings without feeling unhealthy. Also, the key lime pie is best way to end the meal! Love it! I also thoroughly appreciate the care with which they package their food! ,It has always been a delight to order in from Getafix! Highly recommend this place for delicious, healthy meals! ,I have tried almost 80% of Getafix's menu and I want to suggest some must try dishes. ,1.) BBQ chicken burger 🤤🤤,2.) Philly Dilli chicken Sandwich 🤤🤤,3.) Popeye Pizza 🤤🤤,4.) Basil Pesto Penne 🤤🤤,5.) Mushroom Strognoff🤤🤤,6.) Lime pie , brownie, carrot cake 🤤🤤,Honorable mentions,BBQ chicken wings, Shawarma salad and mushroom burger.,If I could, I would eat them all in a sitting.😔,Do try these dishes out!,You are welcome in advance👍"
" 2930/15, Wnd Cross, D Block, Behind Kuvempu Metro Station, Rajajinagar, Bangalore",Rajajinagar,0,Yes,Rs. 600,"North Indian,, ,Chinese",11,578,,,1,,,"4.1,4.0",https://www.zomato.com/thepurplepan,"The Purple Pan
                                    ",Casual Dining,"4.0,1.0,1.0,5.0,3.0",
" Shop 4, Block E, West Patel Nagar, New Delhi",West Patel Nagar,0,Yes,Rs. 300,"Pizza,, ,Italian,, ,Fast Food,, ,Burger,, ,Desserts","1,473",190,,,1,,,"3.7,3.5",https://www.zomato.com/ncr/yummy-pizza-hub-1-west-patel-nagar-new-delhi,"Yummy Pizza Hub
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,5.0",
" A R Rangnekar Marg, Off Hughes Road, Charni Road, Mumbai",Charni Road,0,No,Rs. 500,"Bakery,, ,Desserts",99,,,,1,,,4.3,https://www.zomato.com/mumbai/cake-bites-charni-road,"Cake Bites
                                    ",Bakery,"5.0,5.0,5.0,5.0,5.0","Amazing 💯,Cake was very delicious 😍 We loved it😘,#CrackleChocolate This was second cake we order from Cake Bites(Anisha) and as usual she rocked it. Every one complimented about both the looks and taste.Thank you for making such beautiful and delicious cake in quarantine period.,Ordered a cake in Dis lockdown.... Too good n fast service... A savior for people who stay away from loved ones... Too tasty... N too professional.... Yummy cakes .. Thank you so much....,It was really good in taste and was also looking nice.,I would definately recommend it to everyone else..,Thank you for helping me make it special for my mother 😍. #amazing"
" G-64, Baani Square, Sector 50, Gurgaon","Baani Square, Sector 50",0,Yes,Rs. 700,"Mediterranean,, ,Lebanese,, ,Fast Food,, ,Healthy Food","13,5",1014,,,1,,,"4.3,3.7",https://www.zomato.com/ncr/lub-lub-lebanese-sector-50-gurgaon,"Lub Lub Lebanese
                                    ",Quick Bites,"5.0,4.0,1.0,4.0,1.0","One of my favourite restaurant for Lebanese cuisine: ,Order grilled chicken shawarma platter with traditional humms, hung curd based tzatziki, chilli garlic mayo and salad a perfer meal for my WHF mood. ,""LICKVIDS"" are the must try - slurp in original taste like nowhere else.,The management and service is impressive as well.,Worst delivery service. Phone number listed here does not work. Never order from this restaurant, they will make you suffer,Had ordered two cokes with my order on 29 feb and did not receive and there is no way to call them. The delivery boy said the cokes went in some other order."
